n,modo,ordem_criacao,ordem_termino,bateu,inversoes
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
2,0,0-1,0-1,1,0
4,0,0-1-2-3,0-1-2-3,1,0
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,2-1-0-3,0,3
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,1-0-2-3,0,1
4,0,0-1-2-3,2-1-0-3,0,3
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,4-3-2-1-0-5-6-7,0,10
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-6-4-3-2-1-0-7,0,20
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
